Date,theme,Squat,Bench,OHP,DL,pull-up,dip,skull-crusher,Dumb press,Dumb bench,Incline Dumb bench,kettle swing,Pendlay Row,curl,Front Squat,Session
8/26/20,,,,"85,5,5,5,5,5",,"3,2",,,,"40,12,12,12",,,,,,7
8/29/20,,,,,"235,5",,,,"35,12,12,12",,,,,,,7
8/31/20,,,"155,5,5,5,5,5",,,,,"45,12,12,12","35,12,12,",,,,,"45,10,10,10,10,",,
9/2/20,,"195,5,5,5",,,,,"5,5,5",,,,,,,,,7
9/4/20,,,,"95,5,5,5,5,5",,,,,,"45,12,12,12",,"35,20","95,8,8,8",,,7
9/7/20,,,"155,5,5,5,5,5",,"245,5",,,,"35,12,12,12",,,,,,,7
9/10/20,,"195,5,5,5,5,5",,,,,,,,,,,,,,6
9/12/20,,,,"95,6,6,6,6,6",,"2,",,"55,12,12,12,12",,,,"40,20",,"55,10,12,12,",,7
9/14/2020,,,"155,5,5,5,5,5",,"255,5",,,,,,,,"105,5,5,5",,,8
9/16/2020,,"165,5,5,5,5,5",,,,,"5,5,5",,"35,10,10,10",,,,,,,7
9/21/2020,,,,"95,5,5,5,5,5",,,,,,,"45,8,10,12","40,20",,,,7
9/23/2020,,"195,5,5,5,5,5",,,,,,"55,12,12,12",,,,,,"55,12,12,12",,7
9/25/2020,,,"155,5,5,5,5,5",,,,,,"40,8,8,9",,,,,,,8
9/27/2020,,,,,"275,5",,,,,,,,"95,8,8,8",,,
9/29/2020,,,"135,8,8,8,7","95,8,8,8,8,8",,,"5,5,5",,,,,"45,20",,,,8
10/01/2020,,"205,5,5,5,5,5",,,,,,"75,10,10,10",,,,,,"75,8,8,8",,8
10/04/2020,,,"165,3,5,5,5,5",,,,,,"45,8,8,8",,,,"105,8,8,8",,,7
10/07/2020,,,,,"285,5","1,2","5,5,5",,,,,,,"75,8,8,8",,8
10/10/2020,,,,"100,5,5,5,5,5",,,,,,,"45,12,12,12","45,20","105,8,8,8",,,7
10/13/2020,,"210,5,5,5,5,5",,,,,,"80,8,8,8,",,,,,,"80,8,8,8",,8
10/15/2020,,,"170,5,5,5,5,5",,,,,,"45,8,8,7",,,,,,,8
10/20/2020,,,,,"290,5",,,,,,,,"110,8,8,8,",,,7
10/22/2020,,,,"105,5,5,5,5,5",,,,,,,"45,12,12,12,12,12",,,,,7
10/24/2020,,195-255,,,,,,"80,8,8,8",,,,,,"80,8,8,8",,8
10/30/2020,,"215,5,5,5,5,5",,,,,,"80,8,8,8",,,,,,"80,8,8,8",,8
11/1/2020,,,"160,5,5,5,5,5",,,,,,"45,8,8,8",,,,"110,8,8,8",,,8
11/3/2020,,,,,"295,5",,,"80,10,10,10",,,,,,"80,10,10,10",,8
11/4/2020,,,,"110,5,5,5,5,5",,,,,,,,,,,,6
11/6/2020,,"220,5,5,5,5,5",,,,,,"80,10,10,10",,,,,,"80,10,10,10",,8
11/8/2020,,,"165,5,5,5,5,5",,,,,,"45,8,8,8,8,8",,,,"115,8,8,8",,,8
11/12/2020,,,,,"300,5",,,"85,8,8,8,",,,,,,"85,8,8,",,8
11/14/2020,,,"135,10,10,10","115,5,5,5,5,5",,,,,,,,,"120,8,8,8",,,8
11/16/2020,,"225,5,5,5,5,5",,,,,,,,,,,,,,7
11/18/2020,,,"170,5,5,5,5,5",,,,,,"45,8,8,8,8,8",,,,,,,8
11/20/2020,,,,,"305,5",,,"90,8,8,8",,,,,,"90,8,8,8",,7
11/23/2020,,,,"120,4,5,5,5,5,",,,,,,"50,12,12,12,12,12",,,,,,8
11/25/2020,,"225,5,5,5,5,5",,,,,,"90,8,8,8",,,,,,"90,8,8,8",,8
11/30/2020,,,"135,10,10,10,10,10",,,,,,"40,8,8,8,8,8",,,,,,,8
12/4/2020,,,,,"310,5",,,"95,8,8,8",,,,,,"95,8,5/75,8",,8
12/6/2020,,,,"95,8,8,8,8,8",,,,,,"50,12,12,12",,,"120,8,8,8",,,8
12/10/2020,,"185,8,8,8",,,,,,,,,,,,,,7
12/12/2020,,,"135,10,10,10,10,10",,,,,,"40,10,10,",,,,,,,8
12/19/2020,,,,,"315,3",,,,,,,,,,,7
12/23/2020,,"185,8,8,8,8,8",,,,,,,,,,,,"75,8,5,5",,7
01/02/2021,,,,,,,,,,,,,,,"45,65,95,95,95",6
01/05/21,,,,,,,,,,,,,,,,
01/07/21,,,,,,,,,,,,,,,"95,5,5,5,5,5",6
1/14/2021,,,,,"285,5",,,,,,,,,,,6
01/16/2021,,"135,5,5,5",,,,,,,,,,,,,,6
1/29/2021,,"135,5,5,5,5,5",,,,,,,,,,,,"25,20,45,10,10",,
02/05/2021,,,,,"275,5",,,,,,,,,"75,8,8,8",,6
02/07/2021,,"145,5,5,5,5,5","45,10,10,10",,,,,,,,,,,,,7
02/09/2021,,,,,"275,5",,,,,,,,,"75,8,8,8",,7
02/20/2021,,"155,5,5,5,5,5",,,,,,,,,,,,,,6
02/28/2021,,"165,5,5,5,5,5","135,5,5,5,5,5",,,,,,"25,8,8,8",,,,,,,7
